Player/Position,Position,Market Value
Robert Sánchez,Goalkeeper,30.0
Axel Disasi,Centre-Back,42.0
Marc Cucurella,Left-Back,25.0
Benoît Badiashile,Centre-Back,35.0
Thiago Silva,Centre-Back,2.0
Raheem Sterling,Left Winger,45.0
Enzo Fernández,Central Midfield,80.0
Mykhaylo Mudryk,Left Winger,40.0
Noni Madueke,Right Winger,25.0
Marcus Bettinelli,Goalkeeper,1.0
Trevoh Chalobah,Centre-Back,18.0
Nicolas Jackson,Centre-Forward,35.0
Lesley Ugochukwu,Defensive Midfield,25.0
Carney Chukwuemeka,Central Midfield,15.0
Christopher Nkunku,Attacking Midfield,75.0
Cole Palmer,Attacking Midfield,45.0
Ben Chilwell,Left-Back,30.0
Conor Gallagher,Central Midfield,42.0
Reece James,Right-Back,50.0
Moisés Caicedo,Defensive Midfield,90.0
Levi Colwill,Centre-Back,55.0
Malo Gusto,Right-Back,25.0
Djordje Petrovic,Goalkeeper,9.0
Malang Sarr,Centre-Back,4.0
Cesare Casadei,Central Midfield,10.0
Wesley Fofana,Centre-Back,32.0
Deivid Washington,Centre-Forward,9.0
Alfie Gilchrist,Centre-Back,0.3
Diego Moreira,Left Winger,3.0
Roméo Lavia,Defensive Midfield,50.0
Lucas Bergström,Goalkeeper,0.8
